"Prediction","Reference","Freq"
"ADHD","ADHD",19
"anexiety","ADHD",0
"ASD","ADHD",0
"bipolar","ADHD",0
"eating.disorder","ADHD",0
"Loneliness","ADHD",0
"MDD","ADHD",0
"OCD","ADHD",0
"PDD","ADHD",0
"psychotic.deprission","ADHD",0
"PTSD","ADHD",0
"sleeping.disorder","ADHD",0
"ADHD","anexiety",0
"anexiety","anexiety",20
"ASD","anexiety",0
"bipolar","anexiety",0
"eating.disorder","anexiety",0
"Loneliness","anexiety",0
"MDD","anexiety",0
"OCD","anexiety",0
"PDD","anexiety",0
"psychotic.deprission","anexiety",0
"PTSD","anexiety",0
"sleeping.disorder","anexiety",0
"ADHD","ASD",0
"anexiety","ASD",0
"ASD","ASD",26
"bipolar","ASD",0
"eating.disorder","ASD",0
"Loneliness","ASD",0
"MDD","ASD",0
"OCD","ASD",0
"PDD","ASD",0
"psychotic.deprission","ASD",0
"PTSD","ASD",0
"sleeping.disorder","ASD",0
"ADHD","bipolar",0
"anexiety","bipolar",0
"ASD","bipolar",0
"bipolar","bipolar",12
"eating.disorder","bipolar",0
"Loneliness","bipolar",0
"MDD","bipolar",0
"OCD","bipolar",0
"PDD","bipolar",0
"psychotic.deprission","bipolar",0
"PTSD","bipolar",0
"sleeping.disorder","bipolar",0
"ADHD","eating.disorder",0
"anexiety","eating.disorder",0
"ASD","eating.disorder",0
"bipolar","eating.disorder",0
"eating.disorder","eating.disorder",19
"Loneliness","eating.disorder",0
"MDD","eating.disorder",0
"OCD","eating.disorder",0
"PDD","eating.disorder",0
"psychotic.deprission","eating.disorder",0
"PTSD","eating.disorder",0
"sleeping.disorder","eating.disorder",0
"ADHD","Loneliness",0
"anexiety","Loneliness",0
"ASD","Loneliness",0
"bipolar","Loneliness",0
"eating.disorder","Loneliness",0
"Loneliness","Loneliness",13
"MDD","Loneliness",0
"OCD","Loneliness",0
"PDD","Loneliness",0
"psychotic.deprission","Loneliness",0
"PTSD","Loneliness",0
"sleeping.disorder","Loneliness",0
"ADHD","MDD",0
"anexiety","MDD",0
"ASD","MDD",0
"bipolar","MDD",0
"eating.disorder","MDD",0
"Loneliness","MDD",0
"MDD","MDD",16
"OCD","MDD",0
"PDD","MDD",3
"psychotic.deprission","MDD",0
"PTSD","MDD",0
"sleeping.disorder","MDD",0
"ADHD","OCD",0
"anexiety","OCD",0
"ASD","OCD",0
"bipolar","OCD",0
"eating.disorder","OCD",0
"Loneliness","OCD",0
"MDD","OCD",0
"OCD","OCD",9
"PDD","OCD",0
"psychotic.deprission","OCD",0
"PTSD","OCD",0
"sleeping.disorder","OCD",0
"ADHD","PDD",0
"anexiety","PDD",0
"ASD","PDD",0
"bipolar","PDD",0
"eating.disorder","PDD",0
"Loneliness","PDD",0
"MDD","PDD",0
"OCD","PDD",0
"PDD","PDD",18
"psychotic.deprission","PDD",0
"PTSD","PDD",0
"sleeping.disorder","PDD",0
"ADHD","psychotic.deprission",0
"anexiety","psychotic.deprission",0
"ASD","psychotic.deprission",0
"bipolar","psychotic.deprission",0
"eating.disorder","psychotic.deprission",0
"Loneliness","psychotic.deprission",0
"MDD","psychotic.deprission",0
"OCD","psychotic.deprission",0
"PDD","psychotic.deprission",0
"psychotic.deprission","psychotic.deprission",8
"PTSD","psychotic.deprission",0
"sleeping.disorder","psychotic.deprission",0
"ADHD","PTSD",0
"anexiety","PTSD",0
"ASD","PTSD",0
"bipolar","PTSD",0
"eating.disorder","PTSD",0
"Loneliness","PTSD",0
"MDD","PTSD",0
"OCD","PTSD",0
"PDD","PTSD",0
"psychotic.deprission","PTSD",0
"PTSD","PTSD",13
"sleeping.disorder","PTSD",0
"ADHD","sleeping.disorder",0
"anexiety","sleeping.disorder",0
"ASD","sleeping.disorder",0
"bipolar","sleeping.disorder",0
"eating.disorder","sleeping.disorder",0
"Loneliness","sleeping.disorder",0
"MDD","sleeping.disorder",0
"OCD","sleeping.disorder",0
"PDD","sleeping.disorder",0
"psychotic.deprission","sleeping.disorder",0
"PTSD","sleeping.disorder",0
"sleeping.disorder","sleeping.disorder",10
